frequency, sine_cross_corr2, cos_cross_corr2
1., 308.998, -16.399
2., 313.028, -10.651
3., 318.762, 2.005
4., 301.594, 13.294
5., 285.135, -11.384
6., 313.940, -9.540
7., 291.739, 5.248
8., 301.335, -10.891
9., 285.531, -3.677
10., 303.562, -8.735
20., 300.993, -12.535
30., 295.423, -28.646
40., 287.644, -36.891
50., 287.199, -41.380
60., 277.313, -48.075
70., 266.972, -57.604
80., 274.792, -64.977
90., 277.195, -83.078
100., 261.366, -87.044
200., 74.224, -172.380
