frequency, sine_cross_corr1, cos_cross_corr1
1., 310.904, -15.976
2., 317.499, -8.879
3., 316.193, 4.580
4., 305.292, 14.730
5., 287.594, -12.045
6., 311.147, -8.078
7., 294.686, 2.266
8., 300.207, -15.784
9., 292.264, -2.337
10., 305.388, -10.823
20., 303.140, -14.962
30., 299.265, -27.658
40., 282.848, -32.486
50., 287.464, -37.822
60., 278.297, -48.399
70., 273.512, -54.551
80., 275.306, -68.441
90., 277.672, -79.965
100., 267.325, -88.905
200., 74.583, -167.471
